DOI	Publication Date	Publication Year	Journal	'Research Article' or 'non-Research Article'?	Article Title	Citations - CrossRef	Citations - PubMed Central	Citations - Scopus	Total HTML Page Views	Total PDF Downloads	Total XML Downloads	Combined Usage (HTML + PDF + XML)	Blog Coverage - Postgenomic	Blog Coverage - Nature Blogs	Blog Coverage - Bloglines	Blog Coverage - ResearchBlogging.org	Number of Trackbacks	Social Bookmarking - CiteULike	Social Bookmarking - Connotea	Number of Ratings	Average Rating	Number of Note threads	Number of replies to Notes	Number of Comment threads	Number of replies to Comments	Number of 'Star Ratings' that also include a text comment
10.1371/journal.pgen.1000340	39829	2009	PLoS Genetics	non RA	Converging on the Origins of Axonal Ion Channel Clustering	0	0	0	659	192	19	870	1	0	0	0	1	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000341	39829	2009	PLoS Genetics	RA	Contrasting Mode of Evolution at a Coat Color Locus in Wild and Domestic Pigs	3	1	4	2172	543	28	2743	1	0	0	0	2	4	0	0	0.0	0	0	4	1	0
10.1371/journal.pgen.1000342	39829	2009	PLoS Genetics	RA	Genetic Differences between the Determinants of Lipid Profile Phenotypes in African and European Americans: The Jackson Heart Study	1	0	0	1262	364	26	1652	2	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000343	39829	2009	PLoS Genetics	RA	Sequences From First Settlers Reveal Rapid Evolution in Icelandic mtDNA Pool	1	1	1	3641	749	27	4417	3	0	0	2	1	3	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000344	39836	2009	PLoS Genetics	RA	Organised Genome Dynamics in the Escherichia coli Species Results in Highly Diverse Adaptive Paths	5	10	12	2633	905	34	3572	0	0	0	0	0	6	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000345	39829	2009	PLoS Genetics	RA	"TraR, a Homolog of a RNAP Secondary Channel Interactor, Modulates Transcription"	2	0	1	699	220	21	940	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000346	39836	2009	PLoS Genetics	RA	Copy Number Variation of CCL3-like Genes Affects Rate of Progression to Simian-AIDS in Rhesus Macaques (Macaca mulatta)	5	2	6	1183	362	20	1565	0	0	0	0	0	4	1	0	0.0	1	0	0	0	0
10.1371/journal.pgen.1000347	39836	2009	PLoS Genetics	RA	Natural Variation in an ABC Transporter Gene Associated with Seed Size Evolution in Tomato Species	0	2	2	1462	466	21	1949	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000348	39836	2009	PLoS Genetics	RA	Heterochromatic Threads Connect Oscillating Chromosomes during Prometaphase I in Drosophila Oocytes	0	3	3	842	231	22	1095	0	0	0	0	0	0	0	0	0.0	1	0	0	0	0
10.1371/journal.pgen.1000349	39836	2009	PLoS Genetics	RA	Multiple Chromosomal Rearrangements Structured the Ancestral Vertebrate Hox-Bearing Protochromosomes	3	1	3	709	233	21	963	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000350	39836	2009	PLoS Genetics	RA	An ALS-Linked Mutant SOD1 Produces a Locomotor Defect Associated with Aggregation and Synaptic Dysfunction When Expressed in Neurons of Caenorhabditis elegans	2	3	2	1282	424	26	1732	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000351	39836	2009	PLoS Genetics	RA	Integrating Computational Biology and Forward Genetics in Drosophila	2	1	1	2101	559	27	2687	0	0	0	0	0	15	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000352	39836	2009	PLoS Genetics	RA	Residues Clustered in the Light-Sensing Knot of Phytochrome B are Necessary for Conformer-Specific Binding to Signaling Partner PIF3	0	0	0	666	238	22	926	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000353	39836	2009	PLoS Genetics	RA	A Systematic Approach to Mapping Recessive Disease Genes in Individuals from Outbred Populations	2	2	1	1768	562	34	2364	0	0	0	0	1	4	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000354	39843	2009	PLoS Genetics	RA	LINE Retrotransposon RNA Is an Essential Structural and Functional Epigenetic Component of a Core Neocentromeric Chromatin	3	1	4	1526	550	23	2099	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000355	39843	2009	PLoS Genetics	RA	"DETORQUEO, QUIRKY, and ZERZAUST Represent Novel Components Involved in Organ Development Mediated by the Receptor-Like Kinase STRUBBELIG in Arabidopsis thaliana"	0	0	0	972	312	23	1307	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000356	39843	2009	PLoS Genetics	RA	Genetic Evidence for Single-Strand Lesions Initiating Nbs1-Dependent Homologous Recombination in Diversification of Ig V in Chicken B Lymphocytes	2	2	2	622	203	22	847	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000357	39843	2009	PLoS Genetics	RA	Short Telomeres Initiate Telomere Recombination in Primary and Tumor Cells	2	1	2	1383	515	24	1922	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000358	39843	2009	PLoS Genetics	RA	Learning a Prior on Regulatory Potential from eQTL Data	4	9	11	2571	818	24	3413	0	0	0	0	0	9	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000359	39843	2009	PLoS Genetics	non RA	CCL3L Copy Number Variation and the Co-Evolution of Primate and Viral Genomes	3	0	1	1165	350	23	1538	0	0	0	0	0	2	0	1	3.0	0	0	0	0	0
10.1371/journal.pgen.1000360	39843	2009	PLoS Genetics	RA	Reduced Neutrophil Count in People of African Descent Is Due To a Regulatory Variant in the Duffy Antigen Receptor for Chemokines Gene	6	2	8	1318	278	24	1620	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000361	39850	2009	PLoS Genetics	RA	Deletion of the Mitochondrial Superoxide Dismutase sod-2 Extends Lifespan in Caenorhabditis elegans	8	0	8	4704	1112	25	5841	0	0	0	1	0	5	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000362	39850	2009	PLoS Genetics	RA	Adaptations to Submarine Hydrothermal Environments Exemplified by the Genome of Nautilia profundicola	1	0	0	1443	349	9	1801	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000363	39850	2009	PLoS Genetics	RA	hnRNP I Inhibits Notch Signaling and Regulates Intestinal Epithelial Homeostasis in the Zebrafish	0	0	0	715	222	7	944	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000364	39850	2009	PLoS Genetics	RA	Genome-Wide Analysis of Factors Affecting Transcription Elongation and DNA Repair: A New Role for PAF and Ccr4-Not in Transcription-Coupled Repair	0	0	0	1112	364	7	1483	0	0	0	0	0	0	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000365	39850	2009	PLoS Genetics	RA	Genome-Wide Association Studies in an Isolated Founder Population from the Pacific Island of Kosrae	4	0	4	1537	408	12	1957	0	0	0	0	2	1	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000366	39850	2009	PLoS Genetics	RA	A Gene-Based Linkage Map for Bicyclus anynana Butterflies Allows for a Comprehensive Analysis of Synteny with the Lepidopteran Reference Genome	4	1	2	842	216	8	1066	0	0	0	0	1	0	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000367	39850	2009	PLoS Genetics	RA	Genetic Mechanisms in Apc-Mediated Mammary Tumorigenesis	2	1	2	871	317	7	1195	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000368	39850	2009	PLoS Genetics	RA	Adaptive Mutations in the JC Virus Protein Capsid Are Associated with Progressive Multifocal Leukoencephalopathy (PML)	0	0	1	603	226	7	836	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000369	39850	2009	PLoS Genetics	RA	Expression of the Multiple Sclerosis-Associated MHC Class II Allele HLA-DRB1*1501 Is Regulated by Vitamin D	11	3	13	7314	1537	27	8878	0	0	0	0	0	1	0	1	5.0	0	0	6	2	0
10.1371/journal.pgen.1000370	39878	2009	PLoS Genetics	non RA	Neocentromeres Come of Age	0	0	0	934	253	5	1192	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
10.1371/journal.pgen.1000371	39850	2009	PLoS Genetics	non RA	When Segregation Hangs by a Thread	0	0	0	612	143	10	765	0	0	0	0	0	0	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000372	39850	2009	PLoS Genetics	RA	Loss of Myotubularin Function Results in T-Tubule Disorganization in Zebrafish and Human Myotubular Myopathy	2	1	1	725	248	8	981	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000373	39850	2009	PLoS Genetics	RA	A Genome-Wide Investigation of SNPs and CNVs in Schizophrenia	19	4	18	4908	1577	15	6500	0	0	0	1	0	9	2	1	4.0	0	0	1	0	1
10.1371/journal.pgen.1000374	39857	2009	PLoS Genetics	RA	A Drosophila Model for EGFR-Ras and PI3K-Dependent Human Glioma	1	1	2	1633	570	14	2217	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000375	39857	2009	PLoS Genetics	RA	The Individual Blood Cell Telomere Attrition Rate Is Telomere Length Dependent	4	1	1	1055	325	12	1392	0	0	0	0	0	2	0	0	0.0	0	0	1	0	0
10.1371/journal.pgen.1000376	39857	2009	PLoS Genetics	RA	Attenuation of Zinc Finger Nuclease Toxicity by Small-Molecule Regulation of Protein Levels	4	1	4	1021	405	9	1435	0	0	0	0	0	0	0	0	0.0	1	0	0	0	0
10.1371/journal.pgen.1000377	39857	2009	PLoS Genetics	RA	Accumulation of Rhodopsin in Late Endosomes Triggers Photoreceptor Cell Degeneration	0	0	0	922	275	8	1205	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000378	39857	2009	PLoS Genetics	RA	Identification of a Shared Genetic Susceptibility Locus for Coronary Heart Disease and Periodontitis	4	1	0	2181	594	16	2791	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000379	39857	2009	PLoS Genetics	RA	Steroid Hormone Control of Cell Death and Cell Survival: Molecular Insights Using RNAi	2	0	1	995	332	10	1337	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000380	39857	2009	PLoS Genetics	RA	ERCC1/XPF Protects Short Telomeres from Homologous Recombination in Arabidopsis thaliana	0	0	0	580	179	6	765	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000381	39857	2009	PLoS Genetics	RA	Sporadic Infantile Epileptic Encephalopathy Caused by Mutations in PCDH19 Resembles Dravet Syndrome but Mainly Affects Females	2	0	2	1069	247	10	1326	0	0	0	0	0	0	0	0	0.0	0	0	2	0	0
10.1371/journal.pgen.1000382	39857	2009	PLoS Genetics	RA	Disease-Associated Mutant Ubiquitin Causes Proteasomal Impairment and Enhances the Toxicity of Protein Aggregates	3	1	2	914	300	7	1221	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000383	39857	2009	PLoS Genetics	RA	HECTD2 Is Associated with Susceptibility to Mouse and Human Prion Disease	2	3	3	726	177	12	915	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000384	39857	2009	PLoS Genetics	RA	A Groupwise Association Test for Rare Mutations Using a Weighted Sum Statistic	0	0	1	1623	599	15	2237	0	0	0	0	0	6	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000385	39864	2009	PLoS Genetics	RA	Ploidy Reductions in Murine Fusion-Derived Hepatocytes	1	0	2	682	196	7	885	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000386	39864	2009	PLoS Genetics	RA	The Pattern of R2 Retrotransposon Activity in Natural Populations of Drosophila simulans Reflects the Dynamic Nature of the rDNA Locus	1	1	1	481	136	6	623	0	0	0	0	0	3	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000387	39864	2009	PLoS Genetics	RA	Poly (ADP-Ribose) Polymerase 1 Is Required for Protein Localization to Cajal Body	1	1	0	756	234	7	997	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000388	39864	2009	PLoS Genetics	non RA	Conservation and Convergence of Colour Genetics: MC1R Mutations in brown Cavefish	0	0	1	913	213	11	1137	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000389	39864	2009	PLoS Genetics	RA	Altered Hematopoiesis in Mice Lacking DNA Polymerase ? Is Due to Inefficient Double-Strand Break Repair	0	0	0	670	187	7	864	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000390	39885	2009	PLoS Genetics	RA	Escherichia coli MazF Leads to the Simultaneous Selective Synthesis of Both ?Death Proteins? and ?Survival Proteins?	0	1	0	996	398	8	1402	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000391	39864	2009	PLoS Genetics	RA	Turnover of Sex Chromosomes in the Stickleback Fishes (Gasterosteidae)	5	1	6	1181	362	12	1555	0	0	0	0	0	0	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000392	39871	2009	PLoS Genetics	RA	Gene Dosage Effects of the Imprinted Delta-Like Homologue 1 (Dlk1/Pref1) in Development: Implications for the Evolution of Imprinting	1	1	1	1120	369	9	1498	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000393	39871	2009	PLoS Genetics	RA	Mutation of the Mouse Syce1 Gene Disrupts Synapsis and Suggests a Link between Synaptonemal Complex Structural Components and DNA Repair	1	2	0	744	260	8	1012	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000394	39871	2009	PLoS Genetics	RA	The D4Z4 Macrosatellite Repeat Acts as a CTCF and A-Type Lamins-Dependent Insulator in Facio-Scapulo-Humeral Dystrophy	7	2	2	1074	354	10	1438	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000395	39871	2009	PLoS Genetics	RA	Chordin Is a Modifier of Tbx1 for the Craniofacial Malformations of 22q11 Deletion Syndrome Phenotypes in Mouse	1	1	0	586	148	8	742	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000396	39871	2009	PLoS Genetics	RA	A Systems Approach Reveals Regulatory Circuitry for Arabidopsis Trichome Initiation by the GL3 and GL1 Selectors	3	3	5	1295	452	13	1760	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000397	39878	2009	PLoS Genetics	RA	Genome-Wide Analysis of Histidine Repeats Reveals Their Role in the Localization of Human Proteins to the Nuclear Speckles Compartment	0	0	0	726	223	8	957	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000398	39878	2009	PLoS Genetics	RA	Uncoupling Time and Space in the Collinear Regulation of Hox Genes	2	1	4	1313	498	6	1817	0	0	0	0	0	3	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000399	39878	2009	PLoS Genetics	RA	Destabilizing Protein Polymorphisms in the Genetic Background Direct Phenotypic Expression of Mutant SOD1 Toxicity	3	2	3	796	312	7	1115	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000400	39878	2009	PLoS Genetics	RA	Neocentromeres Form Efficiently at Multiple Possible Loci in Candida albicans	3	1	3	815	254	7	1076	0	0	0	0	0	0	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000401	39878	2009	PLoS Genetics	RA	Phylogenomics of Unusual Histone H2A Variants in Bdelloid Rotifers	0	0	0	684	201	7	892	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000402	39878	2009	PLoS Genetics	RA	Rapid Pathway Evolution Facilitated by Horizontal Gene Transfers across Prokaryotic Lineages	1	0	2	1387	497	12	1896	0	0	0	0	0	4	0	1	4.3	0	0	0	0	0
10.1371/journal.pgen.1000403	39878	2009	PLoS Genetics	RA	Death and Resurrection of the Human IRGM Gene	2	4	5	4088	1078	23	5189	0	0	0	2	0	5	0	0	0.0	2	0	1	1	0
10.1371/journal.pgen.1000404	39878	2009	PLoS Genetics	RA	Selection at a Single Locus Leads to Widespread Expansion of Toxoplasma gondii Lineages That Are Virulent in Mice	1	1	3	608	243	8	859	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000405	39878	2009	PLoS Genetics	RA	Fate of the H-NS?Repressed bgl Operon in Evolution of Escherichia coli	0	1	1	653	194	8	855	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000406	39878	2009	PLoS Genetics	RA	The Distribution of Fitness Effects of Beneficial Mutations in Pseudomonas aeruginosa	4	2	3	1068	332	8	1408	0	0	0	0	0	3	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000407	39892	2009	PLoS Genetics	RA	"Computationally Driven, Quantitative Experiments Discover Genes Required for Mitochondrial Biogenesis"	2	3	3	1624	432	8	2064	0	0	0	0	0	2	0	0	0.0	1	0	0	0	0
10.1371/journal.pgen.1000408	39878	2009	PLoS Genetics	RA	Pro-Aging Effects of Glucose Signaling through a G Protein-Coupled Glucose Receptor in Fission Yeast	3	0	0	1928	501	10	2439	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000409	39878	2009	PLoS Genetics	RA	Genetic Determinants of Height Growth Assessed Longitudinally from Infancy to Adulthood in the Northern Finland Birth Cohort 1966	3	2	2	1573	330	9	1912	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000410	39885	2009	PLoS Genetics	RA	A Fine-Structure Map of Spontaneous Mitotic Crossovers in the Yeast Saccharomyces cerevisiae	1	0	1	1120	373	7	1500	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000411	39885	2009	PLoS Genetics	non RA	Mitotic Recombination: Why? When? How? Where?	0	0	0	2672	776	8	3456	0	0	0	0	0	3	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000412	39885	2009	PLoS Genetics	RA	Multifactorial Regulation of a Hox Target Gene	0	0	0	918	295	8	1221	0	0	0	0	0	2	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000413	39885	2009	PLoS Genetics	RA	A Novel Role for MAPKAPK2 in Morphogenesis during Zebrafish Development	0	0	1	994	255	5	1254	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000414	39885	2009	PLoS Genetics	RA	A Human Protein Interaction Network Shows Conservation of Aging Processes between Human and Invertebrate Species	2	3	2	2166	643	7	2816	0	0	0	0	1	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000415	39885	2009	PLoS Genetics	RA	"Measures of Autozygosity in Decline: Globalization, Urbanization, and Its Implications for Medical Genetics"	3	2	1	1353	281	6	1640	0	1	0	2	0	5	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000416	39885	2009	PLoS Genetics	RA	The Complete Genome and Proteome of Laribacter hongkongensis Reveal Potential Mechanisms for Adaptations to Different Temperatures and Habitats	0	0	0	689	181	8	878	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000417	39885	2009	PLoS Genetics	RA	Sequential Assembly of Centromeric Proteins in Male Mouse Meiosis	0	0	1	675	259	5	939	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000418	39885	2009	PLoS Genetics	non RA	"Life, Death, Differentiation, and the Multicellularity of Bacteria"	0	0	0	1447	495	7	1949	0	0	0	0	1	1	0	0	0.0	0	0	1	0	0
10.1371/journal.pgen.1000419	39885	2009	PLoS Genetics	RA	Recombinational Landscape and Population Genomics of Caenorhabditis elegans	3	1	3	1306	431	5	1742	0	0	0	0	0	5	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000420	39885	2009	PLoS Genetics	RA	Genome-Wide Association Analyses Identify SPOCK as a Key Novel Gene Underlying Age at Menarche	0	0	0	1056	255	8	1319	0	0	0	0	1	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000421	39892	2009	PLoS Genetics	RA	A Genome-Wide Association Study in Chronic Obstructive Pulmonary Disease (COPD): Identification of Two Major Susceptibility Loci	6	1	17	2308	853	11	3172	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000422	39892	2009	PLoS Genetics	RA	Ciliary Beating Recovery in Deficient Human Airway Epithelial Cells after Lentivirus Ex Vivo Gene Therapy	0	0	0	490	139	6	635	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000423	39892	2009	PLoS Genetics	RA	Germline Mutation in NLRP2 (NALP2) in a Familial Imprinting Disorder (Beckwith-Wiedemann Syndrome)	4	0	1	738	276	8	1022	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000424	39892	2009	PLoS Genetics	RA	An African Ancestry-Specific Allele of CTLA4 Confers Protection against Rheumatoid Arthritis in African Americans	1	0	1	810	202	7	1019	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000425	39892	2009	PLoS Genetics	RA	Parallel Germline Infiltration of a Lentivirus in Two Malagasy Lemurs	3	0	2	1166	242	10	1418	0	0	0	0	0	0	0	0	0.0	0	0	1	1	0
10.1371/journal.pgen.1000426	39892	2009	PLoS Genetics	RA	Independent S-Locus Mutations Caused Self-Fertility in Arabidopsis thaliana	0	1	2	752	253	6	1011	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000427	39892	2009	PLoS Genetics	RA	Sfrp Controls Apicobasal Polarity and Oriented Cell Division in Developing Gut Epithelium	2	1	3	974	270	7	1251	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000428	39892	2009	PLoS Genetics	RA	Evolution of a Bacterial Regulon Controlling Virulence and Mg2+ Homeostasis	0	2	5	760	248	8	1016	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000429	39892	2009	PLoS Genetics	RA	A Genome-Wide Association Study of Pulmonary Function Measures in the Framingham Heart Study	7	1	7	1240	385	11	1636	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000430	39892	2009	PLoS Genetics	RA	A Plant Germline-Specific Integrator of Sperm Specification and Cell Cycle Progression	2	2	6	1074	345	9	1428	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000431	39892	2009	PLoS Genetics	RA	Genetic Drift of HIV Populations in Culture	1	0	0	1135	325	7	1467	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000432	39892	2009	PLoS Genetics	RA	Capturing the Spectrum of Interaction Effects in Genetic Association Studies by Simulated Evaporative Cooling Network Analysis	1	1	2	643	221	7	871	0	0	0	0	0	6	1	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000433	39892	2009	PLoS Genetics	RA	"A Genome-Wide Association Study Confirms VKORC1, CYP2C9, and CYP4F2 as Principal Genetic Determinants of Warfarin Dose"	6	2	14	2751	1011	10	3772	0	0	0	0	0	3	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000434	39899	2009	PLoS Genetics	RA	Alliance of Proteomics and Genomics to Unravel the Specificities of Sahara Bacterium Deinococcus deserti	1	2	2	993	317	12	1322	0	0	1	0	2	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000435	39899	2009	PLoS Genetics	RA	Heterochromatic Genome Stability Requires Regulators of Histone H3 K9 Methylation	2	0	1	1561	550	6	2117	0	0	0	0	0	3	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000436	39899	2009	PLoS Genetics	RA	A Common Variant Associated with Dyslexia Reduces Expression of the KIAA0319 Gene	2	0	0	951	202	6	1159	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000437	39899	2009	PLoS Genetics	non RA	Bacterial Toxin?Antitoxin Systems: More Than Selfish Entities?	3	1	5	1490	693	7	2190	0	0	3	0	1	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000438	39899	2009	PLoS Genetics	RA	DNA Methylation Analysis of Chromosome 21 Gene Promoters at Single Base Pair and Single Allele Resolution	0	2	1	1883	740	6	2629	0	0	0	0	0	3	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000439	39899	2009	PLoS Genetics	RA	A Toxin?Antitoxin System Promotes the Maintenance of an Integrative Conjugative Element	0	1	1	674	213	5	892	0	0	0	1	1	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000440	39899	2009	PLoS Genetics	RA	"Gibberellin Acts through Jasmonate to Control the Expression of MYB21, MYB24, and MYB57 to Promote Stamen Filament Growth in Arabidopsis"	2	0	3	840	397	9	1246	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000441	39906	2009	PLoS Genetics	RA	Conserved Alternative Splicing and Expression Patterns of Arthropod N-Cadherin	0	1	0	465	117	4	586	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000442	39906	2009	PLoS Genetics	RA	Harmonics of Circadian Gene Transcription in Mammals	2	2	5	1793	501	5	2299	0	0	0	0	1	0	0	0	0.0	0	0	2	0	0
10.1371/journal.pgen.1000443	39906	2009	PLoS Genetics	RA	Combined In Silico and In Vivo Analyses Reveal Role of Hes1 in Taste Cell Differentiation	0	0	1	479	128	5	612	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000444	39906	2009	PLoS Genetics	RA	The Bantam microRNA Is Associated with Drosophila Fragile X Mental Retardation Protein and Regulates the Fate of Germline Stem Cells	1	2	4	962	315	4	1281	0	0	0	0	0	2	0	0	0.0	0	0	1	0	0
10.1371/journal.pgen.1000445	39906	2009	PLoS Genetics	RA	Meta-Analysis of Genome-Wide Scans for Human Adult Stature Identifies Novel Loci and Associations with Measures of Skeletal Frame Size	5	2	7	1134	326	6	1466	0	0	0	0	1	3	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000446	39913	2009	PLoS Genetics	RA	Transcription Initiation Activity Sets Replication Origin Efficiency in Mammalian Cells	6	1	1	913	342	3	1258	0	0	0	0	0	4	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000447	39906	2009	PLoS Genetics	RA	Loss of the Transcriptional Repressor PAG-3/Gfi-1 Results in Enhanced Neurosecretion that is Dependent on the Dense-Core Vesicle Membrane Protein IDA-1/IA-2	0	0	1	333	91	3	427	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000448	39913	2009	PLoS Genetics	RA	Inferring the Demographic History of African Farmers and Pygmy Hunter?Gatherers Using a Multilocus Resequencing Data Set	3	0	0	1576	431	10	2017	0	0	0	0	0	2	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000449	39913	2009	PLoS Genetics	RA	Microarray Profiling of Phage-Display Selections for Rapid Mapping of Transcription Factor?DNA Interactions	0	1	3	848	256	3	1107	0	0	0	0	0	1	0	0	0.0	0	0	0	0	0
10.1371/journal.pgen.1000450	39913	2009	PLoS Genetics	RA	A Regulated Response to Impaired Respiration Slows Behavioral Rates and Increases Lifespan in Caenorhabditis elegans	2	0	4	901	298	5	1204	0	0	0	1	0	0	0	0	0.0	0	0	0	0	0
