DOI	Publication Date	Days Since Aug 2009	PMID	Publication Year	Journal	'Research Article' or 'non-Research Article'?	Article Title	Citations - CrossRef	Citations - PubMed Central	Citations - Scopus	Total HTML Page Views	Total PDF Downloads	Total XML Downloads	Combined Usage (HTML + PDF + XML)	Blog Coverage - Postgenomic	Blog Coverage - Nature Blogs	Blog Coverage - Bloglines	Number of Trackbacks	Social Bookmarking - CiteULike	Social Bookmarking - Connotea	Number of Ratings	Average Rating	Number of Note threads	Number of replies to Notes	Number of Comment threads	Number of replies to Comments	Number of 'Star Ratings' that also include a text comment
10.1371/journal.pctr.0020008	3/2/07	883		2007	PLoS Clinical Trials	non RA	Quality of Life in HIV Clinical Trials: Why Sexual Health Must Not Be Ignored	0	0	0	2987	428	60	3475	1	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020009	3/9/07	876		2007	PLoS Clinical Trials	RA	Short-Term Efficacy of Rofecoxib and Diclofenac in Acute Shoulder Pain: A Placebo-Controlled Randomized Trial	1	0	0	5605	276	18	5899	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020010	2/23/07	890		2007	PLoS Clinical Trials	RA	Intermittent Intravaginal Antibiotic Treatment of Bacterial Vaginosis in HIV-Uninfected and -Infected Women: A Randomized Clinical Trial	2	0	3	1716	178	20	1914	1	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020011	4/27/07	827		2007	PLoS Clinical Trials	RA	Haematological Safety of Perinatal Zidovudine in Pregnant HIV-1?Infected Women in Thailand: Secondary Analysis of a Randomized Trial	4	2	2	947	126	17	1090	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020012	4/6/07	848		2007	PLoS Clinical Trials	RA	Phase 1 Study of Two Merozoite Surface Protein 1 (MSP142) Vaccines for Plasmodium falciparum Malaria	4	7	17	1376	313	20	1709	0	0	0	0	0	0	0	0	0	0	1	0	0
10.1371/journal.pctr.0020013	3/30/07	855		2007	PLoS Clinical Trials	RA	Factors in AIDS Dementia Complex Trial Design: Results and Lessons from the Abacavir Trial	3	1	4	1332	203	19	1554	0	0	0	0	0	0	0	0	0	0	1	0	0
10.1371/journal.pctr.0020014	3/23/07	862		2007	PLoS Clinical Trials	RA	Recovery after Minor Traffic Injuries: A Randomized Controlled Trial	1	1	1	1372	193	16	1581	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020015	3/30/07	855		2007	PLoS Clinical Trials	non RA	Evidence-Based Treatment for HIV-Associated Dementia and Cognitive Impairment: Why So Little	0	0	0	1018	135	16	1169	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020016	4/27/07	827		2007	PLoS Clinical Trials	RA	"A Randomized, Double-Blind, Placebo-Controlled Trial of Lessertia frutescens in Healthy Adults"	1	0	2	1231	140	13	1384	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020017	5/4/07	820		2007	PLoS Clinical Trials	RA	Efficacy of Antioxidant Treatment in Reducing Resistin Serum Levels: A Randomized Study	0	0	1	1104	193	6	1303	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020018	4/13/07	841		2007	PLoS Clinical Trials	non RA	When and How Can Endpoints Be Changed after Initiation of a Randomized Clinical Trial	0	0	0	2117	733	18	2868	0	0	0	0	0	0	0	0	0	0	1	0	0
10.1371/journal.pctr.0020019	5/18/07	806		2007	PLoS Clinical Trials	RA	The Effect of Acclydine in Chronic Fatigue Syndrome: A Randomized Controlled Trial	0	0	0	1567	246	15	1828	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020020	5/18/07	806		2007	PLoS Clinical Trials	RA	Artemether-Lumefantrine versus Dihydroartemisinin-Piperaquine for Treatment of Malaria: A Randomized Trial	3	7	12	1738	369	18	2125	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020021	5/4/07	820		2007	PLoS Clinical Trials	RA	Effects of Growth Hormone and Pioglitazone in Viscerally Obese Adults with Impaired Glucose Tolerance: A Factorial Clinical Trial	1	0	1	1246	300	9	1555	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020022	5/4/07	820		2007	PLoS Clinical Trials	RA	Development and Evaluation of a Pedagogical Tool to Improve Understanding of a Quality Checklist: A Randomised Controlled Trial	0	0	0	1031	163	7	1201	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020023	5/4/07	820		2007	PLoS Clinical Trials	non RA	Correction: A Randomised Trial of Subcutaneous Intermittent Interleukin-2 without Antiretroviral Therapy in HIV-Infected Patients: The UK-Vanguard Study	0	0	0	700	35	9	744	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020024	5/4/07	820		2007	PLoS Clinical Trials	non RA	Correction: Short-Term Efficacy of Rofecoxib and Diclofenac in Acute Shoulder Pain: A Placebo-Controlled Randomized Trial	0	0	0	665	43	3	711	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020025	5/18/07	806		2007	PLoS Clinical Trials	RA	A Cluster Randomized Clinical Trial to Improve Prescribing Patterns in Ambulatory Pediatrics	0	1	2	1071	343	6	1420	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020026	6/1/07	792		2007	PLoS Clinical Trials	RA	A Cluster-Randomised Trial Evaluating an Intervention for Patients with Stress-Related Mental Disorders and Sick Leave in Primary Care	2	1	2	1316	237	9	1562	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020027	5/25/07	799		2007	PLoS Clinical Trials	RA	"Tenofovir Disoproxil Fumarate for Prevention of HIV Infection in Women: A Phase 2, Double-Blind, Randomized, Placebo-Controlled Trial"	17	6	21	3384	585	38	4007	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pctr.0020028	6/15/07	778		2007	PLoS Clinical Trials	RA	Can Biomarkers Identify Women at Increased Stroke Risk? The Women's Health Initiative Hormone Trials	2	3	6	1623	306	8	1937	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010001	6/17/05	1506		2005	PLoS Genetics	RA	A Human-Curated Annotation of the Candida albicans Genome	25	28	0	7320				1	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010003	7/25/05	1468		2005	PLoS Genetics	RA	Pseudogenization of a Sweet-Receptor Gene Accounts for Cats' Indifference toward Sugar	2	4	0	18969	2438	149	21556	0	0	0	0	1	0	0	0	0	0	1	0	0
10.1371/journal.pgen.0010004	7/25/05	1468		2005	PLoS Genetics	RA	Susceptibility to Neurodegeneration in a Glaucoma Is Modified by Bax Gene Dosage	16	11	0	2184	613	21	2818	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010005	7/25/05	1468		2005	PLoS Genetics	RA	Evidence for Domesticated and Wild Populations of Saccharomyces cerevisiae	8	13	0	4047	1172	22	5241	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010006	7/25/05	1468		2005	PLoS Genetics	RA	Diversity of Flowering Responses in Wild Arabidopsis thaliana Strains	24	15	0	3627	1506	26	5159	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010007	7/25/05	1468		2005	PLoS Genetics	RA	Cell-Autonomous Death of Cerebellar Purkinje Neurons with Autophagy in Niemann-Pick Type C Disease	0	5	0	2946	911	25	3882	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010009	7/25/05	1468		2005	PLoS Genetics	RA	"Positive Selection Drives the Evolution of rhino, a Member of the Heterochromatin Protein 1 Family in Drosophila"	1	4	0	2978	817	19	3814	0	0	0	0	4	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010010	6/17/05	1506		2005	PLoS Genetics	RA	Fog2 Is Required for Normal Diaphragm and Lung Development in Mice and Humans	27	7	0	4769				0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010013	8/5/05	1457		2005	PLoS Genetics	RA	Gametophytic Selection in Arabidopsis thaliana Supports the Selective Model of Intron Length Reduction	5	5	2	1791	584	10	2385	0	0	0	0	2	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010014	7/25/05	1468		2005	PLoS Genetics	non RA	The Whole Side of Itâ€”An Interview with Neil Risch	0	0	0	5119	725	16	5860	1	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010015	8/26/05	1436		2005	PLoS Genetics	RA	Comparative and Evolutionary Analysis of the Bacterial Homologous Recombination Systems	12	22	57	3028	1281	20	4329	0	0	0	0	2	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010016	8/5/05	1457		2005	PLoS Genetics	RA	Glucocorticoid Receptor-Dependent Gene Regulatory Networks	10	13	5	4685	2233	38	6956	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010017	7/25/05	1468		2005	PLoS Genetics	RA	"New Genes Tied to Endocrine, Metabolic, and Dietary Regulation of Lifespan from a Caenorhabditis elegans Genomic RNAi Screen"	33	22	0	7315	2582	41	9938	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010018	8/12/05	1450		2005	PLoS Genetics	RA	Oscillating Evolution of a Mammalian Locus with Overlapping Reading Frames: An XLÎ±s/ALEX Relay	2	3	0	1890	476	9	2375	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010019	8/19/05	1443		2005	PLoS Genetics	RA	"The Zebrafish Mutants dre, uki, and lep Encode Negative Regulators of the Hedgehog Signaling Pathway"	6	4	1	2973	1044	18	4035	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010020	8/19/05	1443		2005	PLoS Genetics	RA	Diabetes Insipidus in Mice with a Mutation in Aquaporin-2	5	4	4	1880	529	20	2429	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010021	7/25/05	1468		2005	PLoS Genetics	non RA	Introducing PLoS Genetics	0	0	0	2484	348	15	2847	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010023	8/19/05	1443		2005	PLoS Genetics	RA	Medium-Chain Acyl-CoA Dehydrogenase Deficiency in Gene-Targeted Mice	3	6	0	1765	417	17	2199	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010024	8/19/05	1443		2005	PLoS Genetics	RA	Genome-Wide Requirements for Resistance to Functionally Distinct DNA-Damaging Agents	12	18	1	3836	1648	28	5512	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010025	8/19/05	1443		2005	PLoS Genetics	RA	Local Regulatory Variation in Saccharomyces cerevisiae	18	24	3	2755	1028	19	3802	0	0	0	0	3	3	0	0	0	0	0	0	0
10.1371/journal.pgen.0010026	8/19/05	1443		2005	PLoS Genetics	RA	A Global Survey of Gene Regulation during Cold Acclimation in Arabidopsis thaliana	24	14	5	3544	1413	39	4996	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010027	8/26/05	1436		2005	PLoS Genetics	non RA	Comparative Genomics of Natural Killer Cell Receptor Gene Clusters	23	5	45	2580	1022	21	3623	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010030	9/2/05	1429		2005	PLoS Genetics	RA	Uncoupling of Longevity and Telomere Length in C. elegans	3	3	1	3509	1295	19	4823	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010032	9/2/05	1429		2005	PLoS Genetics	RA	Confounding from Cryptic Relatedness in Case-Control Association Studies	15	8	0	2184	938	12	3134	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010033	9/9/05	1422		2005	PLoS Genetics	RA	Evidence of a Large-Scale Functional Organization of Mammalian Chromosomes	13	11	2	3559	1693	16	5268	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010034	9/16/05	1415		2005	PLoS Genetics	RA	Protein Modularity of Alternatively Spliced Exons Is Associated with Tissue-Specific Regulation of Alternative Splicing	4	11	2	1905	956	17	2878	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010035	9/16/05	1415		2005	PLoS Genetics	RA	Pervasive Adaptive Evolution in Primate Seminal Proteins	11	8	6	2356	930	17	3303	1	0	0	0	3	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010036	9/16/05	1415		2005	PLoS Genetics	RA	Yeast Model Uncovers Dual Roles of Mitochondria in the Action of Artemisinin	10	9	3	3641	1032	29	4702	0	0	0	0	0	0	0	0	0	0	1	0	0
10.1371/journal.pgen.0010038	9/23/05	1408		2005	PLoS Genetics	RA	Acinar Cell Apoptosis in Serpini2-Deficient Mice Models Pancreatic Insufficiency	1	0	0	1563	353	28	1944	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010039	9/30/05	1401		2005	PLoS Genetics	RA	Comparative Gene Expression Analysis by a Differential Clustering Approach: Application to the Candida albicans Transcription Program	7	0	2	3886	1030	22	4938	0	0	0	0	0	4	0	0	0	0	0	0	0
10.1371/journal.pgen.0010040	9/23/05	1408		2005	PLoS Genetics	RA	"REC, Drosophila MCM8, Drives Formation of Meiotic Crossovers"	2	11	0	2078	557	16	2651	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010041	9/30/05	1401		2005	PLoS Genetics	RA	Positive Selection of a Pre-Expansion CAG Repeat of the Human SCA2 Gene	10	6	0	3853	1107	18	4978	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010042	9/30/05	1401		2005	PLoS Genetics	RA	AVPR1a and SLC6A4 Gene Polymorphisms Are Associated with Creative Dance Performance	8	8	8	19812	2392	70	22274	2	0	0	0	0	0	0	0	0	0	2	0	0
10.1371/journal.pgen.0010043	10/7/05	1394		2005	PLoS Genetics	RA	Gain and Loss of Multiple Genes During the Evolution of Helicobacter pylori	14	23	13	2623	1206	23	3852	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010044	10/21/05	1380		2005	PLoS Genetics	RA	"Positive Selection of Iris, a Retroviral Envelopeâ€“Derived Host Gene in Drosophila melanogaster"	4	2	1	1865	549	14	2428	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010045	9/30/05	1401		2005	PLoS Genetics	non RA	Turning the Tablesâ€”An Interview with Nicholas Wade	0	0	0	4017	272	13	4302	1	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010047	10/21/05	1380		2005	PLoS Genetics	RA	Evolutionary Comparison Provides Evidence for Pathogenicity of RMRP Mutations	11	2	0	1433	371	11	1815	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010049	12/30/05	1310		2005	PLoS Genetics	non RA	Genomic Disorders: Molecular Mechanisms for Rearrangements and Conveyed Phenotypes	60	38	13	5104	2454	39	7597	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010050	10/28/05	1373		2005	PLoS Genetics	RA	The Axon Guidance Receptor Gene ROBO1 Is a Candidate Gene for Developmental Dyslexia	19	7	5	5394	1255	32	6681	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010051	10/21/05	1380		2005	PLoS Genetics	RA	The Evolutionary Value of Recombination Is Constrained by Genome Modularity	5	6	7	2328	833	11	3172	0	0	0	0	0	1	0	0	0	0	0	0	0
10.1371/journal.pgen.0010052	11/4/05	1366		2005	PLoS Genetics	RA	Elucidation of Clathrin-Mediated Endocytosis in Tetrahymena Reveals an Evolutionarily Convergent Recruitment of Dynamin	5	3	0	2482	669	12	3163	1	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010053	10/28/05	1373		2005	PLoS Genetics	RA	Gli2 and Gli3 Localize to Cilia and Require the Intraflagellar Transport Protein Polaris for Processing and Function	54	33	0	4445	2126	36	6607	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010054	10/28/05	1373		2005	PLoS Genetics	non RA	Perspectives on Human Genetic Variation from the HapMap Project	16	12	4	5600	2681	22	8303	2	0	0	0	5	4	0	0	0	0	0	0	0
10.1371/journal.pgen.0010055	10/28/05	1373		2005	PLoS Genetics	RA	Gain-of-Function Screen for Genes That Affect Drosophila Muscle Pattern Formation	4	1	0	3226	877	27	4130	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010056	10/28/05	1373		2005	PLoS Genetics	RA	Discovery of Human Inversion Polymorphisms by Comparative Analysis of Human and Chimpanzee DNA Sequence Assemblies	21	14	4	4675	1629	25	6329	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010057	11/11/05	1359		2005	PLoS Genetics	RA	"Maternal Expression Relaxes Constraint on Innovation of the Anterior Determinant, bicoid"	5	3	0	1404	366	13	1783	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010058	11/25/05	1345		2005	PLoS Genetics	non RA	Canine Genomics and Genetics: Running with the Pack	10	6	0	5137	1504	31	6672	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010060	11/11/05	1359		2005	PLoS Genetics	RA	Genome-Wide Association Mapping in Arabidopsis Identifies Previously Known Flowering Time and Pathogen Resistance Genes	23	21	0	7337	3141	50	10528	0	0	0	0	2	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010061	12/2/05	1338		2005	PLoS Genetics	RA	A Network of Multi-Tasking Proteins at the DNA Replication Fork Preserves Genome Stability	4	6	0	4005	1342	25	5372	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010062	11/18/05	1352		2005	PLoS Genetics	RA	Evidence of a Large Novel Gene Pool Associated with Prokaryotic Genomic Islands	9	20	0	2431	1021	26	3478	0	0	0	0	4	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010063	11/18/05	1352		2005	PLoS Genetics	RA	Drosophila tan Encodes a Novel Hydrolase Required in Pigmentation and Vision	5	6	0	3262	651	21	3934	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010064	12/2/05	1338		2005	PLoS Genetics	RA	Medical Sequencing of Candidate Genes for Nonsyndromic Cleft Lip and Palate	32	15	0	3416	1102	26	4544	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010065	11/25/05	1345		2005	PLoS Genetics	RA	Life in Hot Carbon Monoxide: The Complete Genome Sequence of Carboxydothermus hydrogenoformans Z-2901	9	9	0	4517	1021	31	5569	3	0	0	0	0	0	0	0	2	0	0	0	0
10.1371/journal.pgen.0010066	11/25/05	1345		2005	PLoS Genetics	RA	Forward Genetic Analysis of Visual Behavior in Zebrafish	22	7	0	3197	1072	29	4298	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010067	11/18/05	1352		2005	PLoS Genetics	RA	"All Paired Up with No Place to Go: Pairing, Synapsis, and DSB Formation in a Balancer Heterozygote"	4	4	0	1491	497	14	2002	0	0	0	0	2	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010068	11/25/05	1345		2005	PLoS Genetics	RA	Genetic Variation in the HSD17B1 Gene and Risk of Prostate Cancer	5	1	1	2481	801	23	3305	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010069	11/25/05	1345		2005	PLoS Genetics	RA	Increased Life Span due to Calorie Restriction in Respiratory-Deficient Yeast	16	6	0	3751	1298	19	5068	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010070	12/9/05	1331		2005	PLoS Genetics	RA	"Clines, Clusters, and the Effect of Study Design on the Inference of Human Population Structure"	59	22	0	7080	2219	44	9343	3	0	0	0	5	0	1	5	0	0	0	0	1
10.1371/journal.pgen.0010071	12/2/05	1338		2005	PLoS Genetics	RA	Species Choice for Comparative Genomics: Being Greedy Works	2	1	0	2541	952	18	3511	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010073	11/25/05	1345		2005	PLoS Genetics	non RA	Correction: Cytoskeletal Rearrangements in Synovial Fibroblasts as a Novel Pathophysiological Determinant of Modeled Rheumatoid Arthritis	0	0	0	267	75	7	349	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010074	12/16/05	1324		2005	PLoS Genetics	RA	Ablation of the Sam68 RNA Binding Protein Protects Mice from Age-Related Bone Loss	10	4	0	2676	703	18	3397	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010076	12/30/05	1310		2005	PLoS Genetics	non RA	Meeting a Fork in the Road: An Interview with Tom Cech	0	0	0	2065	383	8	2456	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010077	12/16/05	1324		2005	PLoS Genetics	RA	The Flavoring Agent Dihydrocoumarin Reverses Epigenetic Silencing and Inhibits Sirtuin Deacetylases	8	1	1	3415	994	22	4431	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010078	12/16/05	1324		2005	PLoS Genetics	RA	Genome-Wide Associations of Gene Expression Variation in Humans	55	62	18	10784	4391	58	15233	0	0	0	0	14	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010079	12/23/05	1317		2005	PLoS Genetics	RA	Differential Regulation of Strand-Specific Transcripts from Arabidopsis Centromeric Satellite Repeats	19	14	2	2910	1244	27	4181	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010080	12/30/05	1310		2005	PLoS Genetics	RA	Harnessing Natural Diversity to Probe Metabolic Pathways	4	5	0	1941	739	11	2691	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010081	12/30/05	1310		2005	PLoS Genetics	non RA	Correction: Uncoupling of Longevity and Telomere Length in C. elegans	7	0	0	409	133	11	553	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010082	12/30/05	1310		2005	PLoS Genetics	RA	Differential Susceptibility to Hypertension Is Due to Selection during the Out-of-Africa Expansion	16	12	1	3324	1431	23	4778	3	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010083	12/30/05	1310		2005	PLoS Genetics	RA	Accurate Prediction of the Functional Significance of Single Nucleotide Polymorphisms and Mutations in the ABCA1 Gene	8	5	7	3130	976	17	4123	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0010086	12/30/05	1310		2005	PLoS Genetics	non RA	Correction: Cell-Autonomous Death of Cerebellar Purkinje Neurons with Autophagy in Niemann-Pick Type C Disease	0	0	0	274	66	8	348	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020001	1/27/06	1282		2006	PLoS Genetics	non RA	Genetic Analysis of the Cytoplasmic Dynein Subunit Families	19	13	29	2203	817	18	3038	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020002	1/27/06	1282		2006	PLoS Genetics	non RA	Retroviral Elements and Their Hosts: Insertional Mutagenesis in the Mouse Germ Line	14	19	21	3358	1078	20	4456	0	0	0	0	3	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020004	1/13/06	1296		2006	PLoS Genetics	RA	The Notch Ligand JAG1 Is Required for Sensory Progenitor Development in the Mammalian Inner Ear	10	9	22	2296	982	36	3314	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020005	2/3/06	1275		2006	PLoS Genetics	RA	Targeting Determinants of Dosage Compensation in Drosophila	8	18	18	1727	603	16	2346	0	0	0	0	0	1	0	0	0	0	0	0	0
10.1371/journal.pgen.0020006	1/20/06	1289		2006	PLoS Genetics	RA	Combined Expression Trait Correlations and Expression Quantitative Trait Locus Mapping	7	6	12	3878	1927	19	5824	0	0	0	0	2	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020007	1/13/06	1296		2006	PLoS Genetics	RA	Comparative Genomics of Multidrug Resistance in Acinetobacter baumannii	21	25	30	6502	2406	49	8957	0	0	0	0	0	1	0	0	0	0	1	0	0
10.1371/journal.pgen.0020008	2/24/06	1254		2006	PLoS Genetics	non RA	Making Ends Meet: Repairing Breaks in Bacterial DNA by Non-Homologous End-Joining	5	7	15	2585	893	18	3496	0	0	0	0	0	0	0	0	0	0	1	0	0
10.1371/journal.pgen.0020009	1/27/06	1282		2006	PLoS Genetics	RA	Genetic Analysis of Completely Sequenced Disease-Associated MHC Haplotypes Identifies Shuffling of Segments in Recent Human History	36	13	31	4638	1599	33	6270	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020010	1/27/06	1282		2006	PLoS Genetics	RA	Pol IIâ€“Expressed shRNA Knocks Down Sod2 Gene Expression and Causes Phenotypes of the Gene Knockout in Mice	12	6	10	4334	1789	36	6159	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020012	2/3/06	1275		2006	PLoS Genetics	RA	A Link between Meiotic Prophase Progression and Crossover Control	2	6	4	2779	1082	16	3877	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020013	2/3/06	1275		2006	PLoS Genetics	RA	Complex Genetic Interactions in a Quantitative Trait Locus	11	13	8	3195	1235	16	4446	0	0	0	0	4	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020014	2/3/06	1275		2006	PLoS Genetics	RA	Sox6 Directly Silences Epsilon Globin Expression in Definitive Erythropoiesis	6	2	5	2380	722	23	3125	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020015	2/3/06	1275		2006	PLoS Genetics	RA	Genetic and Genomic Analysis of a Fat Mass Trait with Complex Inheritance Reveals Marked Sex Specificity	16	15	22	2961	1010	18	3989	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020016	2/17/06	1261		2006	PLoS Genetics	RA	An Integrated Strategy for Analyzing the Unique Developmental Programs of Different Myoblast Subtypes	4	7	14	2222	831	23	3076	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020017	2/10/06	1268		2006	PLoS Genetics	RA	Permissive Transcriptional Activity at the Centromere through Pockets of DNA Hypomethylation	4	5	0	1715	733	15	2463	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020018	2/10/06	1268		2006	PLoS Genetics	RA	trt-1 Is the Caenorhabditis elegans Catalytic Subunit of Telomerase	2	4	8	1844	595	11	2450	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020019	2/24/06	1254		2006	PLoS Genetics	non RA	A Meiotic Tapas Menu	0	0	0	1326	352	10	1688	0	0	0	0	0	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020020	2/17/06	1261		2006	PLoS Genetics	RA	Bias of Selection on Human Copy-Number Variants	29	30	0	4654	1987	18	6659	0	0	0	0	2	1	0	0	0	0	0	0	0
10.1371/journal.pgen.0020021	2/17/06	1261		2006	PLoS Genetics	RA	Comparative Genomics of Emerging Human Ehrlichiosis Agents	20	34	34	3977	1207	33	5217	1	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020022	2/24/06	1254		2006	PLoS Genetics	RA	DNA Sequences Shaped by Selection for Stability	6	2	6	2073	921	18	3012	0	0	0	0	1	0	0	0	0	0	0	0	0
10.1371/journal.pgen.0020023	4/28/06	1191		2006	PLoS Genetics	RA	Pseudo?Messenger RNA: Phantoms of the Transcriptome	2	5	7	2972	1185	19	4176	0	0	0	0	0	0	0	0	0	0	1	0	0
